,text_encoding_tsne_1,text_encoding_tsne_2
317,-7.5170274,-0.07667559
318,63.16509,-9.366248
319,-7.5170274,-0.07667559
320,-7.5170274,-0.07667559
321,51.530807,-6.8013597
322,-7.5170274,-0.07667559
323,-7.5170274,-0.07667559
324,54.626427,-14.256585
325,-7.5170274,-0.07667559
326,-7.5170274,-0.07667559
327,53.956085,-11.728707
328,-7.5170274,-0.07667559
329,-7.5170274,-0.07667559
330,-7.5170274,-0.07667559
331,61.885284,-3.4944866
332,-7.5170274,-0.07667559
333,52.594997,-8.140629
334,-7.5170274,-0.07667559
335,-7.5170274,-0.07667559
336,54.06261,-10.411118
337,-7.5170274,-0.07667559
338,56.797306,1.554145
339,54.682133,-4.7803535
340,53.883278,4.719832
341,-7.5170274,-0.07667559
342,-7.5170274,-0.07667559
343,-7.5170274,-0.07667559
344,-7.5170274,-0.07667559
345,-7.5170274,-0.07667559
346,-7.5170274,-0.07667559
347,-7.5170274,-0.07667559
348,-7.5170274,-0.07667559
349,47.262665,1.1270479
350,50.833347,0.37264436
351,-7.5170274,-0.07667559
352,-7.5170274,-0.07667559
353,53.346798,-3.4025512
